/Users/adavidbailey/Practice-Bidding-Scenarios/bba/Rule_of_16_17.pbn
board declarer contract score  par     | notes
  210     N       3N     -100         | Stayman
  211     N       2N      120         | Stayman
  212     N       2N      120         | Stayman
  213     N       2N      120         | 
  214     N       2N      120         | 
  215     N       4H      620         | Stayman
  216     N       2N      120         | Stayman
  217     N       2N      150         | 
  218     N       3H      140         | Stayman
  219     N       3N      400         | 
  220     N       3N      600         | 
  221     N       2N      120         | Stayman
  222     N       3N      -50         | 
  223     N       2N     -100         | Stayman
  224     N       2N      150         | 
  225     N       2H      140         | Stayman
  226     N       2H      110         | Stayman
  227     N       3H      -50         | Stayman | Strength cue bid
  228     N       4H      620         | Stayman
  229     N       4S     -100         | Stayman
  230     N       2N      -50         | Stayman
  231     N       2N      150         | 
  232     N       2N      120         | Stayman
  233     N       2N      120         | Stayman
  234     N       2N      120         | Stayman
  235     N       3N      400         | 
  236     N      5DX     -200         | Stayman
  237     N       2N      120         | Stayman
  238     N       2N      120         | Stayman
  239     N       3N     -100         | 
  240     N       2S      110         | Stayman
  241     N       4H      420         | Stayman
  242     N       2N      120         | Stayman
  243     N       3N      -50         | 
  244     N       2N      150         | 
  245     N       2N      120         | 
  246     N       3N      400         | 
  247     N       2N      120         | Stayman
  248     N       2N      -50         | Stayman
  249     N       2N      150         | Stayman
  250     N       2N      120         | Stayman
  251     N       2N      120         | Stayman
  252     N       2N      120         | Stayman
  253     N       3N      600         | 
  254     N       4S      420         | Stayman
  255     N       3N      600         | Stayman
  256     N       4H      420         | Stayman
  257     N       3N      -50         | Stayman
  258     N       2N      150         | Stayman
  259     N       2N      120         | 
  260     N       2N      120         | 
  261     N       2N      150         | 
  262     N       3N      400         | 
  263     N       2N      120         | Stayman
  264     N       3H      140         | Stayman
  265     N       2N      120         | Stayman
  266     N       2N      150         | 
  267     N       2N      120         | 
  268     N       3N      600         | 
  269     N       2N      150         | Stayman
  270     N       2N      150         | 
  271     N       2N      120         | Stayman
  272     N       2N      120         | 
  273     N       2D      110         | Stayman
  274     N       2N      150         | 
  275     N       2N      150         | Stayman
  276     N       3S      140         | Stayman
  277     N       2N      120         | 
  278     N       2N      150         | 
  279     N       4S     -100         | Stayman
  280     N       4H      420         | Stayman | Strength cue bid
  281     N       2N      -50         | 
  282     N       2N      150         | 
  283     N       2N      150         | Stayman
  284     N       3N     -100         | Stayman
  285     N       3N      600         | 
  286     N       2N      120         | Stayman
  287     N       2N      120         | 
  288     N       4H      420         | Stayman
  289     N       2N      150         | 
  290     N       2N      150         | Stayman
  291     N       3N      400         | 
  292     N       3N      600         | 
  293     N       2N      150         | 
  294     N       2N      150         | 
  295     N       2N      150         | Stayman
  296     N       2N      120         | Stayman
  297     N       2N      120         | 
  298     N       2N      120         | Stayman
  299     N       2N      150         | Stayman
  300     N       3N      600         | 
  301     N       2N      120         | Stayman
  302     N       2N      120         | Stayman
  303     N       2N      120         | Stayman
  304     N       2N      120         | Stayman
  305     N       2N      120         | Stayman
  306     N       3H      140         | Stayman
  307     N       4S      -50         | Stayman
  308     N       2N      120         | 
  309     N       4H      620         | Stayman
  310     N       2N      120         | Stayman
  311     W       3H     -140         | 
  312     N       3H      170         | Stayman
  313     N       2N      150         | 
  314     N       2N      150         | Stayman
  315     N       4S      420         | Stayman
  316     N       2D     -200         | Stayman
  317     N       2N      120         | 
  318     N       2N      120         | Stayman
  319     N       3N      600         | 
  320     N       2N      120         | 
  321     N       4H      420         | Stayman | Limit raise or better in !h
  322     N       4S      620         | Stayman
  323     N       2N      120         | 
  324     N       2N      120         | Stayman
  325     E      3CX      300         | Stayman | Unusual 2nt
  326     N       2N      150         | 
  327     N       3N     -100         | 
  328     N       2N      120         | Stayman
  329     N       2N      -50         | 
  330     N       4H      620         | Stayman
  331     N       2N      120         | Stayman
  332     N       3N     -100         | Stayman
  333     N       2N      150         | 
  334     N       2N      120         | Stayman
  335     N       3N      600         | 
  336     N       4H      -50         | Stayman
  337     N       3S      170         | Stayman
  338     N       2N      120         | 
  339     N       1N      120         | 
  340     N       2N      120         | 
  341     N       3N      600         | 
  342     N       3N      400         | Stayman
  343     N       2N      120         | Stayman
  344     N       2N      150         | 
