../bba/After_3_Passes.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
36    W  1H-N       110          A96.QJT9.Q5.QT74 JT43.85.AT842.K2 85.K64.KJ96.AJ85 KQ72.A732.73.963 | P-P-P-1D-P-1H
37    W  2C-S       110          QJ72.AT2.J984.J6 K54.QJ9.KQ32.752 AT9.543.A.KT9843 863.K876.T765.AQ | P-P-P-1C-P-1S-P-2C
38    W  1N-S        90          KQ54.J632.763.A4 632.KQ98.AT9.985 987.A.QJ42.KJT62 AJT.T754.K85.Q73 | P-P-P-1C-P-1H-P-1N
39    W  3D-N       130          KJ75.AQJ9.T932.4 AQT6.876.J7.A965 92.T5.AKQ865.QJ3 843.K432.4.KT872 | P-1D-P-2D=1=-P-2N-P-3D | Inverted minors
40    W  -W                      83.QT94.KJT6.A98 KT4.K73.872.KQ43 QJ97.J2.AQ95.JT6 A652.A865.43.752 | P
41    W  3D-S       110          986.8542.KT8.A74 KQJ3.T96.J6.QJ63 T2.KJ.AQ9754.KT9 A754.AQ73.32.852 | P-P-P-1D-P-1H-P-2D-P-3D
42    W  1N-S      -100          J93.JT72.K94.KT5 854.AK64.Q52.Q74 A76.Q9.AT6.J9632 KQT2.853.J873.A8 | P-P-P-1C-P-1H-P-1N
43    W  2S-S       140          AK94.T986.KJ76.5 82.Q32.AQ95.J732 QT73.KJ.T83.KQT9 J65.A754.42.A864 | P-1D-P-1S-P-2S
44    W  2SX-E      100          K853.J976.AT8.J4 Q9742.Q3.42.Q953 J.KT82.K765.AKT7 AT6.A54.QJ93.862 | P-P-2S-X
45    W  2D-S       110          J832.JT85.AQ63.T KT96.KQ742..J652 54.A3.J9872.AK83 AQ7.96.KT54.Q974 | P-P-P-1D-P-1H-P-2C-P-2D
46    W  3C-S       130          QT95.T5.AQ64.Q54 AK.8763.T752.J62 J42.K42.3.AKT973 8763.AQJ9.KJ98.8 | 1D-P-1H-2C-2H-2N=1=-P-3C | Limit raise or better in !C
47    W  3C-S       130          Q765.KQ54.K5.J98 J82.J987.J8642.A KT.T3.AT7.KQ5432 A943.A62.Q93.T76 | P-P-P-1C-P-1H-P-2C-P-3C
48    W  3C-S       170          Q9832..A532.KJ53 JT76.AK932.Q987. A.QT765.K6.A9872 K54.J84.JT4.QT64 | P-P-1H-P-2H-P-P-3C
49    W  4H-S       420          QT74.KQ84.J3.QJ2 A52.975.K97.T965 K.JT32.AQT865.A3 J9863.A6.42.K874 | P-P-P-1D-1S-X-P-2H-P-2N-P-4H
50    W  2D-S        90          QT65.2.Q65.A8632 K72.KJ.J987.QT75 A4.Q76543.AK42.4 J983.AT98.T3.KJ9 | P-P-P-1H-P-1S-P-2D
51    W  1N-S        90          AQ84.93.K84.T873 K73.J854.AJT9.J2 T6.AQT62.Q52.A94 J952.K7.763.KQ65 | P-P-P-1H-P-1S-P-1N
52    W  2S-W       100          KJ8.AQ42.T832.74 AQ74.J87.A7.T952 52.KT63.QJ54.KQJ T963.95.K96.A863 | P-P-1C-P-1S-P-2S
53    W  3D-S       110          Q6.A9763.T43.QT4 J854.T54.KJ.A976 K73.82.AQ9862.K3 AT92.KQJ.75.J852 | P-P-P-1D-P-1H-P-2D-P-3D
54    W  1N-S        90          A954.K94.96.J643 QT3.A752.J32.K52 76.QT83.AQ75.A97 KJ82.J6.KT84.QT8 | P-P-P-1D-P-1S-P-1N
55    W  2N-N       120          T972.AT32.KJ3.QJ KQ5.K94.752.T762 J8.65.AT986.AK54 A643.QJ87.Q4.983 | P-P-P-1D-P-1H-P-2C-P-2N
56    W  -W                      J92.J32.A752.A92 86543.K7.Q63.KT4 AQ7.Q986.J8.Q865 KT.AT54.KT94.J73 | P
57    W  4H-S       450          KJ8.T752.AQ9.763 A932..JT752.QT92 Q6.AQJ9863.8.A85 T754.K4.K643.KJ4 | P-P-P-1H-P-2C=1=-P-4D=2=-P-4H | Reverse drury | Splinter
58    W  3S-W      -170          Q7.KT64.J74.AT64 T8652.A93.K65.92 J.QJ8752.A92.KQ8 AK943..QT83.J753 | 1S-P-2S-3H-P-P-3S
59    W  4D-N       130          843.Q87.AK64.JT4 AKT.JT54.T3.Q872 J.K92.Q972.AK653 Q97652.A63.J85.9 | 2S-P-3S-X-P-4D
60    W  2DX-S     -200          J852.KQ96.63.932 Q96.AJT8.8752.KT K3.53.KQT94.AJ74 AT74.742.AJ.Q865 | 1C-P-1H-2D-X=1= | Support double redouble
61    W  1S-N        80          KJT2.J2.Q43.QT85 A98.65.J762.AJ42 743.AT974.AT9.K3 Q65.KQ83.K85.976 | P-P-P-1H-P-1S
62    W  1H-N       110          942.QT73.AJ92.K6 A85.AJ65.Q84.T72 KJ.842.KT3.AQ853 QT763.K9.765.J94 | P-P-P-1C-P-1H
63    W  1N-N        90          QJT.63.A985.KT98 K632.AT.J732.QJ7 A95.Q8752.KQ6.62 874.KJ94.T4.A543 | P-P-P-1H-P-1N
64    W  1S-N       110          T854.A52.K954.K6 AJ.KQ4.JT62.T843 763.J93.AQ3.AJ97 KQ92.T876.87.Q52 | P-P-P-1C-P-1S
65    W  -W                      A32.Q3.KT82.8764 Q64.KJ95.753.A32 KT7.A72.Q964.QT9 J985.T864.AJ.KJ5 | P
66    W  4HX-E      100          QT9873.K.Q3.JT76 K42.875432.A65.3 .QT9.KT9842.AKQ4 AJ65.AJ6.J7.9852 | 1C-P-1H-2D-X=1=-2S-3H-4D-P-P-4H-X | Support double redouble
67    W  2D-S        90          732.KJ97.T84.K86 9654.A832..AQ932 AT.Q4.KQJ652.T74 KQJ8.T65.A973.J5 | P-P-1C-1D-1S-P-P-2D
68    W  3D-S       130          KT73.QJ75.KJ42.6 A986.T862.3.KT54 Q4.K9.A8765.QJ73 J52.A43.QT9.A982 | P-P-P-1D-P-1H-P-2C-P-3D
69    W  3H-W      -170          QT875.Q85.85.K32 A932.AJ72.QT94.4 KJ4.96.A62.AT986 6.KT43.KJ73.QJ75 | P-P-1D-P-1H-1S-2H-2S-3H
70    W  2D-S       110          T84.JT8.K97.AT72 Q53.A75.862.KJ54 KJ7.Q63.AJT543.9 A962.K942.Q.Q863 | 1C-P-1N-2D
71    W  1N-S        90          732.K873.A84.T97 KJ54.Q9.KT52.Q84 A8.A64.J763.A532 QT96.JT52.Q9.KJ6 | P-P-P-1D-P-1H-P-1N
72    W  4H-S       450          J85.AQ74.Q83.Q65 K9642.T965.54.A3 3.KJ832.AK62.K98 AQT7..JT97.JT742 | P-P-2S-3H-3S-4H
73    W  3D-S       150          Q65.A97.J53.A972 J93.J654.Q.QT654 T84.KQ.AKT9862.3 AK72.T832.74.KJ8 | 1C-P-1H-3D
74    W  1N-E       -90          A74.QJ52.74.J873 T63.A983.K96.Q54 Q92.K64.QJ53.AT2 KJ85.T7.AT82.K96 | P-P-P-1D-P-1H-P-P-X-P-1N
75    W  -W                      J92.A97.KT4.QJ82 Q73.QT54.876.A75 KT5.J86.A932.K63 A864.K32.QJ5.T94 | P
76    W  2H-N       110          Q86.Q962.QJ.QJ83 A953.75.K8642.T2 JT2.A843.75.AK64 K74.KJT.AT93.975 | P-P-2D-X-P-2H
77    W  3C-S       110          A942.93.Q64.KJ92 Q8.KJT.K752.8653 K63.Q74.J9.AQT74 JT75.A8652.AT83. | P-P-P-1C-1H-X-P-1S-P-P-2H-P-P-3C
78    W  1N-S        90          A7654.T97.Q2.J64 82.A542.KJT.KT73 Q9.K63.A9643.A82 KJT3.QJ8.875.Q95 | P-P-P-1D-P-1S-P-1N
79    W  -W                      Q943.K7.643.A752 J52.J93.Q52.KQT4 KT8.T864.AKT8.J3 A76.AQ52.J97.986 | P
80    W  1S-N        80          T976.874.A4.KJ64 A5.JT3.J852.AT52 K82.Q52.KQT76.Q3 QJ43.AK96.93.987 | P-P-P-1D-P-1S
