..\bba\Opps_Bal_Unusual_2N.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
38    S  2S-S       140          982.AQ96.Q876.72 T65.K32.A532.K86 AKQJ4.J875.4.J43 73.T4.KJT9.AQT95 | 1S-P-2S
39    S  2S-S       140          QJ95.J962.87.K63 K6.QT7.K642.Q852 AT842.AK53.J53.7 73.84.AQT9.AJT94 | 1S-P-2S
40    S  4S-N       450          A876432.T53.3.A5 Q5.7.A87652.K843 KJT9.AQ864.K4.76 .KJ92.QJT9.QJT92 | 1H-P-1S-P-2S-P-4S
41    S  2H-S       140          AT85.743.42.A864 9762.J.A87653.K3 QJ43.AK9865.K.52 K.QT2.QJT9.QJT97 | 1H-P-2H
42    S  2S-S       170          962.KT97.84.AJ83 K3.Q54.K632.7642 AQT85.AJ832.Q5.5 J74.6.AJT97.KQT9 | 1S-P-2S
43    S  4S-S       -50          T73.KQT.K62.J652 KJ4.J987.J854.74 AQ965.A543.73.A8 82.62.AQT9.KQT93 | 1S-P-2S-P-P-3C-3S-P-4S
44    S  3D-W        50          JT5.A852.A876.54 A62.QJ73.J53.762 K9874.K94.2.AQ83 Q3.T6.KQT94.KJT9 | 1S-P-2S-P-P-3D
45    S  2H-S       110          Q63.J43.A832.642 J742.KT9.54.A875 AT95.AQ876.K6.J3 K8.52.QJT97.KQT9 | 1H-P-2H
46    S  4S-S       420          KJT3.T85.A74.862 74.AJ93.8653.Q74 AQ982.K642.J2.A3 65.Q7.KQT9.KJT95 | 1S-P-2S-P-P-3C-3S-P-4S
47    S  3DX-W     -470          AQ864.J92.3.8732 9752.65.Q642.AQ4 KJT.AKQ84.J85.65 3.T73.AKT97.KJT9 | 1H-P-2H-P-P-3D-P-P-X
48    S  2H-S       140          KQ94.K93.84.7643 JT85.AT7.K732.85 A72.QJ642.J5.AQ2 63.85.AQT96.KJT9 | 1H-P-2H
49    S  3S-S       -50          965.J9764.AK6.42 Q8.AQ53.432.Q865 AJT32.KT2.85.A73 K74.8.QJT97.KJT9 | 1S-P-2S-P-P-3D-3S
50    S  3C-W        50          A6543.AJ4.532.42 KT92.K5.Q864.763 QJ7.QT982.K7.AJ5 8.763.AJT9.KQT98 | 1H-P-2H-P-P-3C
51    S  4H-S       -50          QJ875.752.Q76.Q4 AT92.A3.832.8753 K3.QJT964.A4.A62 64.K8.KJT95.KJT9 | 1H-P-2H-P-4H
52    S  2S-S       170          Q986.KT3.K85.762 74.QJ52.432.A853 AKT32.A986.Q6.J4 J5.74.AJT97.KQT9 | 1S-P-2S
53    S  3H-S       140          AT87.J754.53.Q85 J962.K2.A842.742 Q54.AQT63.K76.K6 K3.98.QJT9.AJT93 | 1H-P-2H-P-P-3C-3H
54    S  2S-S       110          A97.943.A72.6542 KQ2.QT62.543.Q87 JT863.AKJ8.86.K3 54.75.KQJT9.AJT9 | 1S-2D-2S
55    S  2S-S       170          KT6.AQ765.832.42 943.J982.K4.K765 AQJ85.T3.A765.Q3 72.K4.QJT9.AJT98 | 1S-P-2S
56    S  3H-S       170          AJ9654.853.7.K72 Q73.94.AK843.843 KT2.AKJT6.52.J65 8.Q72.QJT96.AQT9 | 1H-P-2H-P-P-3D-3H
57    S  2H-S       140          QJ76.A92.3.J5432 AT3.873.A875.Q76 K842.KQJ65.K642. 95.T4.QJT9.AKT98 | 1H-P-2H
58    S  2S-S       140          QJ8.QT432.J53.K8 62.987.A62.A7653 AT954.AKJ6.874.4 K73.5.KQT9.QJT92 | 1S-P-2S
59    S  3S-S       -50          984.KQJT754.8.Q8 AKJ.986.5432.542 QT763.A.AQ76.J76 52.32.KJT9.AKT93 | 1S-P-2S-P-P-3C-3S
60    S  3S-S      -100          JT4.Q964.A85.654 AK8.T85.J7632.Q3 Q9532.AKJ2.4.K72 76.73.KQT9.AJT98 | 1S-P-2S-P-P-3C-P-P-3S
61    S  2S-S       110          A64.QT72.5.Q7542 QT3.KJ86.A643.86 KJ872.A54.K87.J3 95.93.QJT92.AKT9 | 1S-P-2S
62    S  4S-S       -50          T632.QJ853.75.A3 J9.AKT4.843.Q542 AKQ87.96.KJ62.76 54.72.AQT9.KJT98 | 1S-P-2S-P-P-3C-3S-P-4S
63    S  4D-E      -130          QT5.KQT763..7432 K62.J8.J765432.A AJ843.A92.Q8.Q86 97.54.AKT9.KJT95 | 1S-P-2S-3D-P-P-3S-P-P-4D
64    S  2H-S       140          Q984.JT7.J73.K85 KJ52.A3.865.J763 AT76.KQ642.A42.2 3.985.KQT9.AQT94 | 1H-P-2H
65    S  3S-S       140          A82.J973.Q732.54 973.AQ86.K85.J76 KQJ54.KT4.64.A32 T6.52.AJT9.KQT98 | 1S-P-2S-P-P-3C-P-P-3S
66    S  3S-S       170          AK9.764.8643.Q72 754.AT3.QJ.86543 QJT86.KQJ92.72.A 32.85.AKT95.KJT9 | 1S-P-2S-P-P-3D-3S
67    S  2H-S       140          JT96.Q643.A82.J8 A853.K8.Q53.6432 K74.AJT92.764.A7 Q2.75.KJT9.KQT95 | 1H-P-2H
68    S  2S-S       110          742.AJ742.Q876.3 J53.QT6.A43.K854 AKQ96.K53.5.J762 T8.98.KJT92.AQT9 | 1S-P-2S
69    S  3D-W      -130          K8432.964.62.A73 AQ96.K7.J873.852 T75.AQJ83.Q4.K64 J.T52.AKT95.QJT9 | 1H-P-2H-P-P-3D
70    S  2H-S       110          AJ2.962.5432.K85 QT95.QT7.K6.Q743 K874.AKJ54.J87.2 63.83.AQT9.AJT96 | 1H-P-2H
71    S  2S-S       140          832.KJT8.J3.A532 K4.A973.8642.J87 AQ765.Q652.A7.64 JT9.4.KQT95.KQT9 | 1S-P-2S
72    S  3S-S       170          986.QT85.J4.AQ86 K72.A7.8653.7432 AQJT4.KJ962.Q2.5 53.43.AKT97.KJT9 | 1S-P-2S-P-P-3D-3S
73    S  2S-S       110          T63.KT62.Q54.K72 Q42.QJ95.A32.863 KJ975.A73.876.A5 A8.84.KJT9.QJT94 | 1S-P-2S
74    S  2H-S       110          JT5.Q63.A653.852 Q973.K85.K8.J643 A642.AJ974.72.A7 K8.T2.QJT94.KQT9 | 1H-P-2H
75    S  4H-S       420          QJ975.Q86.K85.65 A3.T2.Q764.K8432 KT82.AKJ743.32.J 64.95.AJT9.AQT97 | 1H-P-2H-P-4H
76    S  2H-S       170          AQ42.KT8.6543.83 KT76.43.J87.A542 J953.AQ752.K.K76 8.J96.AQT92.QJT9 | 1H-P-2H
77    S  2H-S       140          KJT82.A75.76.865 Q5.QT9.KQ842.732 A964.J6432.5.AK4 73.K8.AJT93.QJT9 | 1H-P-2H
78    S  3S-S       -50          AT8.Q932.876.J86 K93.KT84.K432.43 QJ762.AJ6.J5.A72 54.75.AQT9.KQT95 | 1S-P-2S-P-P-3C-P-P-3S
79    S  3S-S       140          K943.T8753.K43.2 Q6.KQ92.J875.Q85 AJ752.A6.62.A763 T8.J4.AQT9.KJT94 | 1S-P-2S-P-P-3C-3S
80    S  2S-S       170          KQT.76532.8.K532 J6.AJT.J532.8764 A8754.KQ94.K64.Q 932.8.AQT97.AJT9 | 1S-P-2S
81    S  3S-S       140          Q82.K742.K83.854 953.QT8.762.AQ73 AT764.AJ93.A5.62 KJ.65.QJT94.KJT9 | 1S-P-2S-P-P-3D-3S
82    S  3D-W      -110          T872.AJ6.87.Q543 QJ65.KT9.AJ3.876 AK4.Q7542.652.K2 93.83.KQT94.AJT9 | 1H-P-2H-P-P-3D
83    S  2S-S       110          875.KJ6432.QJ42. JT9.AQ97.6.Q8765 AKQ64.T.873.A432 32.85.AKT95.KJT9 | 1S-P-2S
84    S  2S-S       140          754.KQ52.K542.84 QJ2.T4.J863.AJ73 AKT83.AJ986.7.65 96.73.AQT9.KQT92 | 1S-P-2S
85    S  3S-S       140          KT8.K983.54.K853 652.AQJT.832.762 AQJ74.742.AJ7.J4 93.65.KQT96.AQT9 | 1S-P-2S-P-P-3D-3S
86    S  2S-S       170          A42.9853.A83.854 96.Q76.K754.K762 QJT53.AKJ42.6.Q3 K87.T.QJT92.AJT9 | 1S-P-2S
87    S  2H-S       170          K95.AJT4.864.873 QJ83.K2.J753.Q62 A742.Q9753.K2.A5 T6.86.AQT9.KJT94 | 1H-P-2H
88    S  3H-S       140          AKT64.QT3.872.63 9732.A2.3.KJ8754 QJ5.KJ984.KQ64.2 8.765.AJT95.AQT9 | 1H-P-2H-P-P-3D-3H
89    S  2S-S       170          AJ7.Q8653.4.J542 65.K97.Q863.K763 KQ982.AT42.A75.8 T43.J.KJT92.AQT9 | 1S-P-2S
90    S  2S-S       140          J86.J95.J8.KQ865 T32.AQ42.K53.732 AKQ74.KT63.642.4 95.87.AQT97.AJT9 | 1S-P-2S
91    S  3H-S       140          J6532.K63.A42.73 K974.72.J53.AJ62 AQ8.AQT84.876.84 T.J95.KQT9.KQT95 | 1H-P-2H-P-P-3C-3H
92    S  3C-W      -110          AQ953.Q96.87.875 T87.K87.J543.AJ6 KJ2.AJT42.A62.32 64.53.KQT9.KQT94 | 1H-P-2H-P-P-3C
93    S  2H-S       170          KJT93.AT3.J2.653 Q754.5.87653.KQ7 A86.KQJ987.K4.82 2.642.AQT9.AJT94 | 1H-P-2H
94    S  2S-S       140          Q87.Q942.KJ.6432 93.KJT6.6532.A87 AK542.A875.84.K5 JT6.3.AQT97.QJT9 | 1S-P-2S
95    S  4S-S       620          T52.87532.KQ8.A7 J3.AQ4.762.J8542 AKQ76.KJ96.43.63 984.T.AJT95.KQT9 | 1S-P-2S-P-P-3D-3S-P-4S
96    S  4D-W       100          K54.A874.852.865 873.KT53.Q743.A7 AQJ92.QJ6.6.K432 T6.92.AKJT9.QJT9 | 1S-2D-2S-3S=1=-P-4D | Limit raise or better in !D
97    S  3S-S       170          A42.KT765.2.8654 JT8.84.K743.A732 KQ963.AQ92.Q85.J 75.J3.AJT96.KQT9 | 1S-P-2S-P-P-3D-P-P-3S
98    S  3C-W      -130          Q643.Q75.K863.52 AK72.864.52.K764 J85.AKJ92.J74.Q8 T9.T3.AQT9.AJT93 | 1H-P-2H-P-P-3C
99    S  2H-S       110          AJ652.J75.8.Q842 KQ9.AT8.732.7653 T84.KQ964.AJ64.K 73.32.KQT95.AJT9 | 1H-P-2H
100   S  2S-S       140          943.AQ86.7653.Q7 K7.J75.K8.K86432 AJ652.KT943.A4.5 QT8.2.QJT92.AJT9 | 1S-P-2S
101   S  3H-S       140          J987.KQ42.832.Q2 KQ54.T3.Q54.8653 A32.AJ975.A7.J74 T6.86.KJT96.AKT9 | 1H-P-2H-P-P-3D-3H
