/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/Drury-GIB.pbn
board declarer contract score | notes
 193     N        4H     450  | 1M-3M inviting
 194     N        6H     1430 | Blackwood 0314, for !H
 195     N        4S     450  | 
 196     N        4H     420  | 
 197     S        4S     680  | 
 198     N        4H     450  | Splinter
 199     N        2H     140  | 
 200     N        3S     140  | 1M-3M inviting
 201     N        4S     420  | 
 202     N        4S     450  | Cue bid, surplus
 203     N        3S     170  | 
 204     N        2H     170  | 
 205     N        4H     620  | 
 206     N        3H     140  | 1M-3M inviting
 207     N        4H     650  | 
 208     N        4H     420  | 1M-3M inviting
 209     N        2H     140  | 
 210     N        4S     620  | 1M-3M inviting
 211     N        4S     450  | 
 212     N        2S     170  | 
 213     N        4H     620  | 
 214     N        2H     170  | 
 215     N        4S     420  | 
 216     S        1N      90  | 
 217     N        4S     450  | 
 218     N        4S     450  | 1M-3M inviting
 219     N        4S     450  | Splinter
 220     N        4S     620  | 1M-3M inviting
 221     N        4H     620  | 
 222     N        4H     450  | 1M-3M inviting
 223     N        4H     650  | 1M-3M inviting
 224     N        4S     450  | 
 225     S        4S     450  | 
 226     N        4H     620  | 1M-3M inviting
 227     N        2H     170  | 
 228     S        1N     150  | 
 229     N        4H     -100 | 1M-3M inviting
 230     N        4H     420  | 
 231     N        4H     420  | 
 232     N        2S     170  | 
 233     N        4S     420  | 1M-3M inviting
 234     S        3N     400  | 
 235     N        2H     140  | 
 236     N        3H     140  | 
 237     S        4S     -100 | Cue bid, surplus | Cue bid, a !D stopper | Cue bid, a !H stopper | Cue bid, surplus
 238     N        4H     450  | 
 239     S        1N     120  | 
 240     N        2H     140  | 
 241     N        3H     170  | 1M-3M inviting
 242     N        4H     620  | 
 243     N        4H     450  | Splinter
 244     N        3H     170  | 1M-3M inviting
 245     N        4S     650  | 
 246     N        3S     140  | 1M-3M inviting
 247     N        4H     450  | Splinter
 248     N        4H     450  | 1M-3M inviting
 249     N        4S     420  | 1M-3M inviting
 250     S        4S     420  | 
 251     N        4H     450  | 
 252     N        4H     650  | 
 253     N        4S     620  | Cue bid, a !D stopper
 254     N        5S     450  | Blackwood 0314, for !S
 255     N        4H     650  | 1M-3M inviting
 256     N        4H     420  | 1M-3M inviting
 257     N        4S     420  | 1M-3M inviting
 258     N        4S     -100 | 
 259     N        4S     450  | 
 260     N        6H     980  | 1M-3M inviting | Cue bid, a !S stopper | Blackwood 0314, for !H | King ask by 5NT
 261     N        4S     650  | 
 262     N        4S     450  | 
 263     S        1N     120  | 
 264     N        4S     420  | Cue bid, surplus
 265     N        2S     170  | 
 266     N        4H     450  | 
 267     N        4S     420  | 1M-3M inviting
 268     S        1N     150  | 
 269     N        4H     -100 | 
 270     S        1N     150  | 
 271     N        4S     650  | Cue bid, a !H stopper
 272     N        4H     420  | 1M-3M inviting
 273     S        4S     450  | 
 274     N        4H     650  | Splinter
 275     N        4S     420  | 1M-3M inviting
 276     N        4S     420  | 
 277     N        4S     620  | Cue bid, surplus
 278     N        2H     170  | 
 279     N        4H     480  | 
 280     N        4S     450  | 
 281     N        4H     -50  | 
 282     N        4S     450  | Splinter
 283     N        4H     420  | 1M-3M inviting
 284     N        4H     650  | 1M-3M inviting
 285     S        1N     120  | 
 286     N        2H     170  | 
 287     N        2H     170  | 
 288     N        4H     420  | 
 289     N        4H     -50  | 1M-3M inviting
 290     N        4S     620  | Cue bid, a !C stopper
 291     S        4S     450  | Splinter | Cue bid, surplus
 292     N        4S     420  | 
 293     N        2S     140  | 
 294     N        4H     450  | 
 295     N        2H     170  | 
 296     N        4H     450  | 
 297     N        2S     170  | 
 298     N        4H     450  | 1M-3M inviting
 299     S        4S     -100 | 
 300     N        4H     650  | Splinter
 301     N        2H     140  | 
 302     N        4S     420  | 
 303     N        4H     650  | 1M-3M inviting
 304     N        4S     480  | 1M-3M inviting
 305     N        4S     450  | 
 306     N        4H     620  | 1M-3M inviting
 307     N        4H     420  | 
 308     N        4H     450  | 
 309     N        3H     170  | 
 310     N        4S     450  | 
 311     N        2S     140  | 
 312     N        2S     140  | 
 313     N        4H     420  | 
 314     S        1N     120  | 
 315     N        4H     450  | Splinter
 316     N        4S     650  | 
 317     N        4H     -100 | 1M-3M inviting
 318     N        4S     450  | Cue bid, a !H stopper
 319     N        2H     140  | 
 320     N        4S     420  | 
 321     N        4S     420  | 
 322     N        2H     140  | 
 323     N        4S     420  | 
 324     N        4S     450  | 
 325     N        6H     1430 | 
 326     N        4H     420  | 
