/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/After_Partner_Overcalls.pbn
board declarer contract score  par     | notes
  140     N       4H     -100  N H 9  | Michaels cuebid | Limit raise or better in !h
  141     N       4H      650  N H 11 | 
  142     S       2H      110  S H 8  | 
  143     N       2C      110  N C 9  | 
  144     W       3S      200  W S 7  | Max 2 !s
  145     S       2S      140  S S 9  | 
  146     S       4H      620  S H 10 | 
  147     S       2S     -100  S S 6  | 
  148     S       3H     -200  S H 7  | 
  149     E       4H       50  E H 9  | 
  150     S       4H      450  S H 11 | Support double redouble
  151     N       4H      620  N H 10 | Fit showing jumps
  152     S       2H      140  S H 9  | 
  153     E       3D     -110  E D 9  | 
  154     N       4S     -100  N S 9  | Max 2 !h | Limit raise or better in !s
  155     S       2S      110  S S 8  | 
  156     W      4SX      300  W S 8  | 1x-(1y)-2z weak
  157     N       2H      110  N H 8  | 
  158     E       3S       50  E S 8  | 
  159     N       5D      620  N D 12 | 
  160     N       4S      480  N S 12 | Max 2 !h | Mixed raise,  !s
  161     S       2H      -50  S H 7  | 
  162     S       4H      620  S H 10 | Limit raise or better in !h | Splinter
  163     E       1H      -80  E H 7  | 
  164     N       5H      650  N H 11 | Michaels cuebid | Limit raise or better in !h | Blackwood 0314, for !h
  165     S       2D     -100  S D 7  | 
  166     S       4H     -100  S H 8  | Limit raise or better in !h
  167     S       2H      110  S H 8  | 
  168     E       4D     -150  E D 11 | 
  169     S       5D      440  S D 13 | 1m-3m blocking
  170     S       3S      140  S S 9  | 
  171     N       3C      110  N C 9  | Limit raise or better in !c
  172     E       4H     -450  E H 11 | Forcing 1nt
  173     E       4D      100  E D 9  | 
  174     E       2D     -130  E D 10 | 
  175     W       2S     -110  W S 8  | 1x-(1y)-2z weak
  176     S       3S      140  S S 9  | 
  177     E       1N      150  E NT 4 | 
  178     E       3H       50  E H 8  | 
  179     E       1H      -80  E H 7  | 
  180     S       3N      660  S NT 11| 
  181     S       4H      620  S H 10 | Limit raise or better in !h
  182     E       1H      200  E H 5  | 
  183     E       3C      100  E C 8  | 
  184     E       3H     -140  E H 9  | 
  185     S       4S      450  S S 11 | Limit raise or better in !s | Cue bid, a !h stopper
  186     S       3S      140  S S 9  | 
  187     S       3H      140  S H 9  | 
  188     W       3S      150  W S 6  | Support double redouble
  189     E       1S      -80  E S 7  | 
  190     N      4SX     -300  N S 8  | 
  191     S      4SX     -500  S S 8  | Limit raise or better in !h
  192     E       3D      200  E D 7  | 
  193     E       2S     -110  E S 8  | 
  194     S       2H      110  S H 8  | 
  195     W       5D     -600  W D 11 | 
  196     S       3S      170  S S 10 | 
  197     W       4S       50  W S 9  | 
  198     W       1N      -90  W NT 7 | 
  199     S       4S      680  S S 12 | 
  200     S       3H      140  S H 9  | 
  201     N       4H      450  N H 11 | Limit raise or better in !h | Cue bid, a !d stopper | Cue bid, a !c stopper
  202     E       3C     -150  E C 11 | 
  203     E       4C     -150  E C 11 | 
  204     N       3S     -200  N S 7  | 
  205     N       5S      650  N S 11 | Limit raise or better in !s | Cue bid, a !h stopper | Cue bid, a !c stopper | Cue bid, a !d stopper | Blackwood 0314, for !s
  206     N       3N      430  N NT 10| 
  207     S       5D      600  S D 11 | Limit raise or better in !d
  208     S       2D      130  S D 10 | 
  209     E       3S     -170  E S 10 | Two way game tries
  210     E       1H      150  E H 4  | 
  211     S       3D      150  S D 11 | 
  212     S       3C      130  S C 10 | 
  213     W      4CX      500  W C 7  | Limit raise or better in !h
  214     S       4S      420  S S 10 | Limit raise or better in !s | Cue bid, a !h stopper | Cue bid, a !h stopper | Cue bid, a !c stopper
  215     N       2H      170  N H 10 | 
  216     S       4S      -50  S S 9  | Limit raise or better in !h
  217     N       2N      120  N NT 8 | 
  218     S       5D      620  S D 12 | Fit showing jumps
  219     E       2S       50  E S 7  | 
  220     N       4H      650  N H 11 | 
  221     N       2C     -200  N C 6  | 
  222     E       4S     -420  E S 10 | Forcing 1nt
  223     N       2D      110  N D 9  | 
  224     S       3S      140  S S 9  | 
  225     S       3H      140  S H 9  | 
  226     N       3N      600  N NT 9 | 
  227     S      5DX     -300  S D 9  | 
  228     S       4H      650  S H 11 | 
  229     S       3C      130  S C 10 | 
  230     S       2C      150  S C 11 | 
  231     S       2D       90  S D 8  | 
  232     W       3H       50  W H 8  | 
  233     S       2H      140  S H 9  | 
  234     N       3D      110  N D 9  | 
  235     E       3D       50  E D 8  | 
  236     S       2H      170  S H 10 | Limit raise or better in !h
  237     S       3C      110  S C 9  | 
  238     W       4H     -420  W H 10 | 
  239     S       2H      110  S H 8  | 
  240     S       6C     -100  S C 10 | Fit showing jumps | Cue bid, a !h stopper | Blackwood 0314, for !c
  241     E       1D      200  E D 3  | 
  242     S       4H      620  S H 10 | 
  243     S       2H      -50  S H 7  | 
  244     S       3N      630  S NT 10| 
  245     S       4S     -200  S S 8  | Maximal doubles
  246     E       5D     -640  E D 13 | 
  247     E       3D      200  E D 7  | 
  248     E       2S     -140  E S 9  | 
  249     S       3N     -150  S NT 6 | 
  250     E       3C     -150  E C 11 | 1x-(y)-2z forcing
  251     S       2H      170  S H 10 | 
  252     E       3D     -110  E D 9  | 
  253     S      6HX     1660  S H 12 | Limit raise or better in !h | Blackwood 0314, for !h
  254     E       4S     -420  E S 10 | 
  255     E       3H      100  E H 7  | 
  256     S       5H      450  S H 11 | Limit raise or better in !h
  257     N       3S      170  N S 10 | Support double redouble | Limit raise or better in !s
  258     W       2S       50  W S 7  | Support double redouble
  259     N       3N      -50  N NT 8 | 
  260     W       4H     -620  W H 10 | 
  261     N       2H      170  N H 10 | Max 2 !s
  262     N       2S      110  N S 8  | 
  263     N       2N      150  N NT 9 | 
  264     S       4S      420  S S 10 | Limit raise or better in !s
  265     S       3D      150  S D 11 | 
  266     E       2H     -200  E H 11 | 
  267     E       3H       50  E H 8  | 
  268     N       3D      170  N D 12 | 
  269     S       4S     -100  S S 9  | Limit raise or better in !h
  270     S       4H      -50  S H 9  | Limit raise or better in !h | Splinter
  271     E       3S     -170  E S 10 | 
  272     S       4H      450  S H 11 | Limit raise or better in !h | Cue bid, a !d stopper | Cue bid, a !s stopper
  273     N       3N      400  N NT 9 | 
  274     E       1S      100  E S 5  | 
  275     E       2S     -170  E S 10 | 
  276     S       3N      600  S NT 9 | 
  277     W       3H       50  W H 8  | 
  278     E       2S     -110  E S 8  | 
  279     S       4H      620  S H 10 | Limit raise or better in !h
  280     S      4HX     -300  S H 8  | 
  281     S       2S      110  S S 8  | 
  282     W       1N      200  W NT 5 | 
  283     E       4H       50  E H 9  | 
  284     E       2S     -170  E S 10 | Forcing 1nt
  285     S       4H      650  S H 11 | 
  286     S       4S      450  S S 11 | Limit raise or better in !s
  287     W       3C      100  W C 7  | Forcing 1nt
  288     S       3C      150  S C 11 | 
  289     S       4S      450  S S 11 | Splinter
