/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule17.pbn
board declarer contract score
350 N 3N 400
351 N 2N 120
352 N 3N 400
353 N 3N -50
354 N 3N -100
355 N 3N -50
356 N 4H -50
357 N 2N 150
358 N 1N 120
359 N 3N -100
360 N 2N 150
361 N 1N 120
362 N 3N 400
363 N 3H 140
364 N 3N -100
365 N 3N -200
366 N 3H 140
367 N 3N -100
368 N 2H -50
369 N 2N 150
370 N 2N 150
371 N 3N 400
372 N 2N 120
373 N 4H 620
374 N 2N 150
375 N 3N -50
376 N 2N 120
377 N 3N 400
378 N 1N 120
379 N 4D 130
380 N 3N 600
381 N 2N 120
382 N 3N -50
383 N 3N 600
384 N 4H 420
385 N 3N -50
386 N 2N 150
387 N 3N -50
388 N 2N 120
389 N 4S 620
390 N 3N -50
391 N 2N 120
392 N 4S 420
393 N 3N 400
394 N 4S 420
395 N 3H 140
396 N 2N 120
397 N 3N 600
398 N 3N -50
399 N 2N 120
400 N 3N 400
401 N 3N -50
402 N 3N 600
403 N 3N 400
404 N 1N 120
405 N 3N 600
406 N 1N 90
407 N 2N 150
408 N 2N 120
409 N 3N 400
410 N 1N 120
411 N 3S -50
412 N 2N 120
413 N 2N 150
414 N 3N -50
415 N 2N 120
416 N 3N -50
417 N 2H 140
418 N 2N 120
419 N 3N -100
420 N 3N -50
421 N 3D -100
422 N 2N 120
423 N 3N -50
424 N 1N 120
425 N 2N 120
426 N 2N 150
427 N 3N 400
428 N 2N 120
429 N 3N 600
430 N 1N 120
431 N 4S 620
432 N 3H 140
433 N 3N -100
434 N 1N 120
435 N 3N -50
436 N 2N 120
437 N 1N 120
438 N 1N 120
439 N 2N 150
440 N 3N -50
441 N 3N -50
442 N 3N 400
443 N 2N 120
444 N 3N 600
445 N 2H 110
446 N 2H 110
447 N 4S -100
448 N 2N 150
449 N 3N -50
450 N 2N 120
451 W 3C -110
452 N 4S 420
453 N 3N 600
454 N 3N 400
455 S 4C 130
456 N 3N -50
457 N 3N 400
458 N 2N 120
459 N 3N -50
460 N 2N 120
461 S 4H 620
462 N 2N 150
463 N 2N 150
464 N 2N 120
465 N 2N 120
466 N 4S 620
467 N 3N -50
468 N 2N 120
469 N 4H 620
470 N 1N 120
471 N 3H 140
472 N 2N 150
473 N 3N 400
474 N 3N -50
475 N 2N 120
476 N 2N 120
477 N 3N 600
478 N 2N 120
479 N 4S -100
480 N 1N 120
481 N 1N 120
482 N 3N -100
483 N 3N 400
484 N 2N 120
485 N 3H 140
486 N 4H 420
487 N 3N -50
488 N 4S 420
489 N 4H 420
490 N 2N 120
491 N 4S -50
492 N 3N 600
493 N 3H 140
494 N 3N -50
495 N 4H 620
496 N 2N 120
497 N 3N 400
498 N 2N -100
499 N 4S 420
500 N 2N 120
nDeals = 493
nGames = 144
%Games = 0.2920892494929006%
