/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/After_Opp_Overcalls.pbn
board declarer contract score  par     | notes
  135     S       4H      650  S H 11 | Jordan truscott 2nt | Splinter
  136     S       3N     -100  S NT 7 | Strength cue bid
  137     W       2H     -140  W H 9  | Max 2 !s
  138     S       4H      620  S H 10 | Texas
  139     S       4S      420  S S 10 | Jordan truscott 2nt | Cue bid, a !c stopper | Cue bid, a !d stopper | Cue bid, a !d stopper
  140     W      4DX      500  W D 7  | 
  141     S       3S      170  S S 10 | 
  142     S       4H      420  S H 10 | 
  143     W      5CX     -650  W C 12 | 
  144     S       4S      -50  S S 9  | Support 1nt
  145     N       2S      110  N S 8  | 
  146     S      5DX      750  S D 11 | 
  147     S       2H      110  S H 8  | 
  148     S       3D     -200  S D 7  | 
  149     S       2H      170  S H 10 | 
  150     W       4H      100  W H 9  | 
  151     S       3D     -100  S D 8  | Support double redouble
  152     W       5D      100  W D 9  | 
  153     S       3H      200  S H 11 | 
  154     N       3S      200  N S 11 | 1x-(y)-2z forcing
  155     N       4S      480  N S 12 | Stayman | Artificial
  156     S       6H     -100  S H 11 | Limit raise or better in !h | Blackwood 0314, for !h
  157     S       5S     -200  S S 9  | Limit raise or better in !s
  158     S       4S      -50  S S 9  | Limit raise or better in !s
  159     S       4H      620  S H 10 | Fit showing jumps | Cue bid, a !d stopper
  160     S       3C      130  S C 10 | 
  161     S       4H      420  S H 10 | Stayman
  162     S       4S      620  S S 10 | Limit raise or better in !s
  163     S       3S      140  S S 9  | Limit raise or better in !s
  164     S       4S     -100  S S 9  | 
  165     S       3S     -100  S S 8  | 1m-3m inviting
  166     W       3H     -140  W H 9  | 
  167     S       4S      650  S S 11 | Limit raise or better in !s | Cue bid, a !h stopper | Cue bid, surplus
  168     W      4SX      100  W S 9  | Limit raise or better in !h
  169     S       1N      -50  S NT 6 | 
  170     S       4H      650  S H 11 | Limit raise or better in !h | Cue bid, a !d stopper
  171     N       2S      -50  N S 7  | Support double redouble
  172     N       2S      110  N S 8  | 1x-(1y)-2z weak
  173     N       3H      140  N H 9  | 
  174     S       3H      140  S H 9  | Limit raise or better in !h
  175     W      5CX      500  W C 8  | 
  176     S       4H      480  S H 12 | Splinter
  177     S       2H      170  S H 10 | Support 1nt
  178     W       1N       50  W NT 6 | 
  179     W       3H     -140  W H 9  | 
  180     S       4H      650  S H 11 | Limit raise or better in !h
  181     S       4H     -100  S H 9  | Limit raise or better in !h
  182     S       4C      150  S C 11 | 
  183     S       4H      620  S H 10 | 
  184     W       3S     -140  W S 9  | 
  185     S       3H      -50  S H 8  | Limit raise or better in !h
  186     W       3H      100  W H 8  | 
  187     S       3S      -50  S S 8  | Cappelletti, strong
  188     W       4H      150  W H 7  | 
  189     S       4H     -100  S H 9  | Limit raise or better in !h
  190     S       3S      140  S S 9  | 
  191     S       3S      140  S S 9  | 
  192     S       3S      230  S S 12 | 
  193     S       2S      110  S S 8  | 
  194     W       2H     -110  W H 8  | Max 2 !s
  195     S       4H      420  S H 10 | 
  196     W       2H     -110  W H 8  | Max 2 !s
  197     S       4H     -100  S H 9  | Limit raise or better in !h
  198     N       1S      -50  N S 6  | 
  199     S       4H     -200  S H 8  | 
  200     N       2N      120  N NT 8 | 
  201     S       4H      420  S H 10 | Fit showing jumps
  202     S       3S     -100  S S 8  | 
  203     W      4SX     -590  W S 10 | 
  204     W       3D       50  W D 8  | 
  205     S       4S      650  S S 11 | Support 1nt
  206     S       4S      -50  S S 9  | Limit raise or better in !s
